0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
FaZe,FaZe,KDA+/-ADR,K,D,A,+/-,ADR,ODMK1vsX,OD,MK,1vsX,MAPS SCORESCOREFORM,MAPS SCORE,SCORE,FORM,,,,,,,,,,,,,,,,
frozen,frozen,,433910+485,43,39,10,+4,85,7:5112,7:5,11,2,Ancient6.36.80%,Ancient6.3,Ancient6.3,Ancient6.3,,,,,,,,,,,,,,6.8,0%
ropz,ropz,,33335070,33,33,5,0,70,8:562,8:5,6,2,Ancient56.1-9%,Ancient5,Ancient5,Ancient5,,,,,,,,,,,,,,6.1,-9%
broky,broky,,343411075,34,34,11,0,75,1:382,1:3,8,2,Ancient6.16.1-5%,Ancient6.1,Ancient6.1,Ancient6.1,,,,,,,,,,,,,,6.1,-5%
rain,rain,,324212-1070,32,42,12,-10,70,1:690,1:6,9,0,Ancient55.5-10%,Ancient5,Ancient5,Ancient5,,,,,,,,,,,,,,5.5,-10%
karrigan,karrigan,,244413-2062,24,44,13,-20,62,6:1150,6:11,5,0,Ancient5.14.8-14%,Ancient5.1,Ancient5.1,Ancient5.1,,,,,,,,,,,,,,4.8,-14%
Total,Total,16619251-26362,166,192,51,-26,362,23:30396,23:30,39,6,Ancient5.55.9-8%,Ancient5.5,Ancient5.5,Ancient5.5,,,,,,,,,,,,,,5.9,-8%,
Natus Vincere,Natus Vincere,KDA+/-ADR,K,D,A,+/-,ADR,ODMK1vsX,OD,MK,1vsX,MAPS SCORESCOREFORM,MAPS SCORE,SCORE,FORM,,,,,,,,,,,,,,,,
b1tMVP,b1t,,513414+17105,51,34,14,+17,105,8:5160,8:5,16,0,Ancient7.57.5+27%,Ancient7.5,Ancient7.5,Ancient7.5,,,,,,,,,,,,,,7.5,+27%
jL,jL,,46297+1781,46,29,7,+17,81,3:8112,3:8,11,2,Ancient6.56.6+15%,Ancient6.5,Ancient6.5,Ancient6.5,,,,,,,,,,,,,,6.6,+15%
iM,iM,,324112-966,32,41,12,-9,66,12:570,12:5,7,0,Ancient65.8-11%,Ancient6,Ancient6,Ancient6,,,,,,,,,,,,,,5.8,-11%
Aleksib,Aleksib,,323819-680,32,38,19,-6,80,5:560,5:5,6,0,Ancient7.25.7+7%,Ancient7.2,Ancient7.2,Ancient7.2,,,,,,,,,,,,,,5.7,+7%
w0nderful,w0nderful,,27279054,27,27,9,0,54,2:060,2:0,6,0,Ancient5.25.4-15%,Ancient5.2,Ancient5.2,Ancient5.2,,,,,,,,,,,,,,5.4,-15%
Total,Total,18816961+19386,188,169,61,+19,386,30:23462,30:23,46,2,Ancient6.56.2+5%,Ancient6.5,Ancient6.5,Ancient6.5,,,,,,,,,,,,,,6.2,+5%,
,,,Maps,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Score,5.9,6.2,Ancient1,Ancient1,Ancient1,,,,,,,,,,,,,,,,,,,,,,,,,,
Win Rounds,25,28,Ancient4,Ancient4,Ancient4,,,,,,,,,,,,,,,,,,,,,,,,,,
Kills,166,188,Ancient19,Ancient19,Ancient19,,,,,,,,,,,,,,,,,,,,,,,,,,
